,dsc_estado,Modalidade de Operação,nom_tipocombustivel2,nom_tipousinasite,Selecione Tipo de GE Simp 4,Din Instante,Din Instante GE Simp 4,Val Geraenergiacongwh,Val Geraenergiaconmwmed,Demanda
1,1,6,2,0,11.95,31/12/2020 00:00,01/12/2020 00:00,8.89167203,11.95117209,Baixo
2,2,6,2,0,1.88,31/12/2020 00:00,01/12/2020 00:00,1.39762929,1.87853399,Baixo
3,0,2,6,1,2494.88,31/12/2020 00:00,01/12/2020 00:00,1856.189991,2494.87902,Alto
6,1,2,6,1,168.84,31/12/2020 00:00,01/12/2020 00:00,125.6148048,168.8371032,Alto
7,1,2,6,1,441.78,31/12/2020 00:00,01/12/2020 00:00,328.68487269999997,441.78074280000004,Alto
8,5,2,6,1,1028.7,31/12/2020 00:00,01/12/2020 00:00,765.3510558999999,1028.697656,Alto
9,6,2,6,1,102.48,31/12/2020 00:00,01/12/2020 00:00,76.24632762,102.4816231,Alto
10,1,6,6,1,5.84,31/12/2020 00:00,01/12/2020 00:00,4.34740308,5.84328371,Baixo
11,1,6,6,1,11.77,31/12/2020 00:00,01/12/2020 00:00,8.75487751,11.76730848,Baixo
12,1,6,6,1,9.79,31/12/2020 00:00,01/12/2020 00:00,7.28125337,9.78663088,Baixo
13,1,6,6,1,8.29,31/12/2020 00:00,01/12/2020 00:00,6.1711306,8.29453038,Baixo
16,5,6,6,1,0.43,31/12/2020 00:00,01/12/2020 00:00,0.31895184,0.42869871,Baixo
17,5,6,6,1,4.16,31/12/2020 00:00,01/12/2020 00:00,3.09154032,4.15529613,Baixo
18,2,2,2,0,44.26,31/12/2020 00:00,01/12/2020 00:00,32.9293152,44.25983226,Medio
19,2,2,2,0,34.22,31/12/2020 00:00,01/12/2020 00:00,25.45710715,34.21654187,Medio
20,7,2,2,0,36.29,31/12/2020 00:00,01/12/2020 00:00,26.99980291,36.29005767,Medio
21,7,2,2,0,19.36,31/12/2020 00:00,01/12/2020 00:00,14.40025641,19.35518334,Baixo
22,7,2,2,0,26.85,31/12/2020 00:00,01/12/2020 00:00,19.97587333,26.84929211,Baixo
23,7,2,2,0,22.2,31/12/2020 00:00,01/12/2020 00:00,16.51881127,22.20270332,Baixo
24,7,2,2,0,21.01,31/12/2020 00:00,01/12/2020 00:00,15.62892648,21.00662161,Baixo
25,2,4,2,0,14.17,31/12/2020 00:00,01/12/2020 00:00,10.53988741,14.16651533,Baixo
26,2,4,2,0,16.0,31/12/2020 00:00,01/12/2020 00:00,11.90300664,15.99866484,Baixo
27,1,5,2,0,11.56,31/12/2020 00:00,01/12/2020 00:00,8.60410291,11.56465445,Baixo
28,1,5,2,0,11.99,31/12/2020 00:00,01/12/2020 00:00,8.9217181,11.99155659,Baixo
29,1,5,2,0,11.45,31/12/2020 00:00,01/12/2020 00:00,8.51572744,11.44587021,Baixo
30,1,5,2,0,7.31,31/12/2020 00:00,01/12/2020 00:00,5.43913338,7.31066314,Baixo
31,1,5,2,0,3.79,31/12/2020 00:00,01/12/2020 00:00,2.81904015,3.78903246,Baixo
32,1,5,2,0,3.16,31/12/2020 00:00,01/12/2020 00:00,2.34926473,3.15761389,Baixo
33,1,5,2,0,8.61,31/12/2020 00:00,01/12/2020 00:00,6.40481442,8.60862153,Baixo
34,1,5,2,0,10.27,31/12/2020 00:00,01/12/2020 00:00,7.63913855,10.26765934,Baixo
35,1,5,2,0,11.21,31/12/2020 00:00,01/12/2020 00:00,8.33672763,11.20527907,Baixo
36,1,5,2,0,2.67,31/12/2020 00:00,01/12/2020 00:00,1.98915004,2.67358876,Baixo
37,1,5,2,0,7.18,31/12/2020 00:00,01/12/2020 00:00,5.3432879,7.18183858,Baixo
38,1,5,2,0,10.63,31/12/2020 00:00,01/12/2020 00:00,7.90821754,10.62932465,Baixo
39,1,5,2,0,2.8,31/12/2020 00:00,01/12/2020 00:00,2.08622596,2.80406715,Baixo
